2024-11-23 11:28:49.777 botMg [http-nio-8001-exec-5] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：[{"rkey":"HXNN5"}]
2024-11-23 11:29:37.168 botMg [http-nio-8001-exec-8] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.bot.PreCodeController.findPage()
2024-11-23 11:29:37.169 botMg [http-nio-8001-exec-8] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：[{"pageNum":1,"pageSize":50,"params":{"drawIssue":"","mode":"","id@desc":"a"}}]
2024-11-23 11:29:43.267 botMg [http-nio-8001-exec-7] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.bot.PreCodeController.getDraw()
2024-11-23 11:29:43.267 botMg [http-nio-8001-exec-7] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：[{"rkey":"HXNN5"}]
2024-11-23 11:30:42.002 botMg [http-nio-8001-exec-9] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.bot.PreCodeController.findPage()
2024-11-23 11:30:42.002 botMg [http-nio-8001-exec-9] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：[{"pageNum":1,"pageSize":50,"params":{"drawIssue":"","mode":"","id@desc":"a"}}]
2024-11-23 11:30:47.795 botMg [http-nio-8001-exec-10] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.bot.PreCodeController.getDraw()
2024-11-23 11:30:47.795 botMg [http-nio-8001-exec-10] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：[{"rkey":"HXNN5"}]
2024-11-23 11:31:21.335 botMg [http-nio-8001-exec-1] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.bot.PreCodeController.findPage()
2024-11-23 11:31:21.335 botMg [http-nio-8001-exec-1] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：[{"pageNum":1,"pageSize":50,"params":{"drawIssue":"","mode":"","id@desc":"a"}}]
2024-11-23 11:31:24.977 botMg [http-nio-8001-exec-4] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.bot.PreCodeController.getDraw()
2024-11-23 11:31:24.977 botMg [http-nio-8001-exec-4] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：[{"rkey":"HXNN5"}]
2024-11-23 11:46:41.510 botMg [http-nio-8001-exec-2] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.sys.MenuController.findNavTree()
2024-11-23 11:46:41.510 botMg [http-nio-8001-exec-2] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：["admin"]
2024-11-23 11:46:41.665 botMg [http-nio-8001-exec-3] INFO  com.hml.mall.aspect.SysLogAspect - 请求路径：【admin】：com.hml.mall.controller.sys.MenuController.findNavTree()
2024-11-23 11:46:41.666 botMg [http-nio-8001-exec-3] INFO  com.hml.mall.aspect.SysLogAspect - 请求参数为：["admin"]
